등록번호,표찰번호,지번주소,도로명주소,경도,위도,데이터제공일자
8518,북부순환로 (교정시설) (LP - 4) 04,일곡동 산 19,,35.214409,126.910995,2022-11-10
8519,북부순환로 (교정시설) (LP - 4) 03,일곡동 6,,35.214344,126.911354,2022-11-10
8520,북부순환로 (교정시설) (LP - 4) 02,일곡동 산 14-15,,35.214294,126.911682,2022-11-10
8521,북부순환로 (교정시설) (LP - 4) 01,일곡동 산 14-2,,35.214233,126.912003,2022-11-10
8522,북부순환로 (교정시설) (LP - 3) 25,일곡동 산 14-13,,35.214619,126.912476,2022-11-10
8523,북부순환로 (교정시설) (LP - 3) 24,일곡동 산 15-1,,35.21476,126.912376,2022-11-10
8524,북부순환로 (교정시설) (LP - 3) 23,일곡동 산 17-3,,35.214859,126.91214,2022-11-10
8525,북부순환로 (교정시설) (LP - 3) 22,일곡동 산 17-3,,35.2148963,126.9117011,2022-11-10
8526,북부순환로 (교정시설) (LP - 3) 21,일곡동 산 18-3,,35.2149065,126.9112311,2022-11-10
8527,북부순환로 (교정시설) (LP - 3) 20,일곡동 산 18-3,,35.214909,126.91082,2022-11-10
8528,북부순환로 (교정시설) (LP - 3) 19,일곡동 산 18-3,,35.214916,126.910522,2022-11-10
8529,북부순환로 (교정시설) (LP - 3) 18,일곡동 산 21-1,,35.214924,126.910248,2022-11-10
8530,북부순환로 (교정시설) (LP - 3) 17,일곡동 산 21-1,,35.214935,126.909866,2022-11-10
8531,북부순환로 (교정시설) (LP - 3) 16,일곡동 산 22-1,,35.214954,126.909576,2022-11-10
8532,북부순환로 (교정시설) (LP - 3) 15,일곡동 산 22-1,,35.214958,126.909218,2022-11-10
8533,북부순환로 (교정시설) (LP - 3) 14,일곡동 7-1,,35.214958,126.908897,2022-11-10
8534,북부순환로 (교정시설) (LP - 3) 13,일곡동 8-3,,35.214951,126.908585,2022-11-10
8535,북부순환로 (교정시설) (LP - 3) 12,일곡동 산 23-2,,35.214848,126.908463,2022-11-10
8536,북부순환로 (교정시설) (LP - 3) 11,일곡동 7-1,,35.21484,126.908768,2022-11-10
8537,북부순환로 (교정시설) (LP - 3) 10,일곡동 7-1,,35.214844,126.909058,2022-11-10
8538,북부순환로 (교정시설) (LP - 3) 09,일곡동 7-1,,35.214851,126.909409,2022-11-10
8539,북부순환로 (교정시설) (LP - 3) 08,일곡동 산 21-1,,35.214836,126.909744,2022-11-10
8540,북부순환로 (교정시설) (LP - 3) 07,일곡동 산 21-1,,35.214813,126.910049,2022-11-10
8541,북부순환로 (교정시설) (LP - 3) 06,일곡동 산 18-3,,35.214783,126.910385,2022-11-10
8542,북부순환로 (교정시설) (LP - 3) 05,일곡동 산 19,,35.214764,126.91069,2022-11-10
8543,북부순환로 (교정시설) (LP - 3) 04,일곡동 산 18-3,,35.214733,126.911003,2022-11-10
8544,북부순환로 (교정시설) (LP - 3) 03,일곡동 산 18-3,,35.214699,126.911293,2022-11-10
8545,북부순환로 (교정시설) (LP - 3) 02,일곡동 산 17-3,,35.214638,126.911728,2022-11-10
8546,북부순환로 (교정시설) (LP - 3) 01,일곡동 산 14-13,,35.2146,126.912102,2022-11-10
8547,북부순환로 (교정시설) (LP - 1) 22,일곡동 8-2,,35.21489,126.908081,2022-11-10
8548,북부순환로 (교정시설) (LP - 1) 21,일곡동 산 23-2,,35.214851,126.907753,2022-11-10
8549,북부순환로 (교정시설) (LP - 1) 20,일곡동 산 24-8,,35.214825,126.907486,2022-11-10
8550,북부순환로 (교정시설) (LP - 1) 19,일곡동 산 24-8,,35.214825,126.907265,2022-11-10
8551,북부순환로 (교정시설) (LP - 1) 18,일곡동 산 24-1,,35.214809,126.906975,2022-11-10
8552,북부순환로 (교정시설) (LP - 1) 17,일곡동 13-3,,35.214787,126.906654,2022-11-10
8553,북부순환로 (교정시설) (LP - 1) 16,일곡동 13-2,,35.214775,126.906281,2022-11-10
8554,북부순환로 (교정시설) (LP - 1) 15,일곡동 13-2,,35.214752,126.906006,2022-11-10
8555,북부순환로 (교정시설) (LP - 1) 14,일곡동 13-2,,35.214745,126.905685,2022-11-10
8556,북부순환로 (교정시설) (LP - 1) 13,일곡동 산 36-1,,35.214741,126.90535,2022-11-10
8557,북부순환로 (교정시설) (LP - 1) 12,일곡동 771-1,,35.214745,126.905083,2022-11-10
8558,북부순환로 (교정시설) (LP - 1) 11,일곡동 산 36-1,,35.214737,126.904762,2022-11-10
8559,북부순환로 (교정시설) (LP - 1) 10,일곡동 산 36-1,,35.214725,126.904411,2022-11-10
8560,북부순환로 (교정시설) (LP - 1) 09,일곡동 산 36-1,,35.214748,126.904045,2022-11-10
8561,북부순환로 (교정시설) (LP - 1) 02,일곡동 30-1,,35.214874,126.901894,2022-11-10
8562,북부순환로 (교정시설) (LP - 1) 01,일곡동 30-1,,35.215,126.901947,2022-11-10
8563,북부순환로 (교정시설) (LP - 1) 03,일곡동 산 36-1,,35.214855,126.902138,2022-11-10
8564,북부순환로 (교정시설) (LP - 1) 04,일곡동 산 36-1,,35.214874,126.902351,2022-11-10
8565,북부순환로 (교정시설) (LP - 1) 05,일곡동 산 36-1,,35.214848,126.902664,2022-11-10
8566,북부순환로 (교정시설) (LP - 1) 06,일곡동 산 36-1,,35.214817,126.903038,2022-11-10
8567,북부순환로 (교정시설) (LP - 1) 07,일곡동 산 36-1,,35.21479,126.903351,2022-11-10
8568,북부순환로 (교정시설) (LP - 1) 08,일곡동 산 36-1,,35.214741,126.903717,2022-11-10
8569,북부순환로 (장등교차로) (LP - 6) 1,장등동 산 146-1,,35.213398,126.917343,2022-11-10
8570,북부순환로 (장등교차로) (LP - 6) 2,장등동 산 146-1,,35.213352,126.917648,2022-11-10
8571,북부순환로 (장등교차로) (LP - 6) 3,장등동 산 146-1,,35.213314,126.917923,2022-11-10
